Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,
Neural correlates of individual differences in affective benefit of real-life urban green space exposure,"Tost, H; Reichert, M; Braun, U; Reinhard, I; Peters, R; Lautenbach, S; Hoell, A; Schwarz, E; Ebner-Priemer, U; Zipf, A; Meyer-Lindenberg, A","Psychiatric morbidity is high in cities, so identifying potential modifiable urban protective factors is important. We show that exposure to urban green space improves well-being in naturally behaving male and female city dwellers, particularly in districts with higher psychiatric incidence and fewer green resources. Higher green-related affective benefit was related to lower prefrontal activity during negative-emotion processing, which suggests that urban green space exposure may compensate for reduced neural regulatory capacity.",2019,,NATURE NEUROSCIENCE,22,9,1389-+,WOS:000483377100004,10.1038/s41593-019-0451-y,,#26,Tost 2019,
Perceived urban green and residents' health in Beijing,"Xu, JX; Wang, FH; Chen, L; Zhang, WZ","Green space serves urban residents in various functions including promoting health, but the roles of different types of green space are unclear. A survey titled ""Healthy Neighborhood"" was conducted in Beijing from May to July 2019 to examine and compare the associations between three types of perceived green space (park green, public-square green and utility green) and three aspects of residents' health (physical health, mental health and social health). Results from the multilevel modeling (MLM) analysis show that the perceived park green has a positive correlation with mental health, and all three types of perceived green space correlate with social health positively. No significant correlation of any type of green space is detected on participants' physical health, nor any relation of public-square green or utility green to their mental health. Overall the role of urban green space is stronger on social health than physical and mental health. The findings support the complementary roles of different types of green space, and suggest that expansion in utility greens could be as effective as investing in more costly park and public-square greens, especially in their benefit in promoting social health.",2021,,SSM-POPULATION HEALTH,14,,,WOS:000661125200030,10.1016/j.ssmph.2021.100790,,#32,Xu 2021,
"Understanding the relationship between small urban parks and mental health: A case study in Shanghai, China","Wang, PW; Han, LR; Hao, RS; Mei, R","The literature to date has mainly explored the impact on public mental health of green spaces around residential areas, large urban parks, family gardens, blue spaces, national parks, etc., while few studies have examined the association of Small Urban Green Spaces (SUGS) with public mental health. The role, function, and service radius of SUGS in urban people's lives are quite different from those of general green spaces, and the relationship and mechanism linking general green spaces to mental health cannot be fully applied to small parks. This work was conducted to: 1) investigate the relationship between SUGS and mental health; 2) understand what factors affect mental health; 3) determine what kind of SUGS is more conducive to improving mental health. SUGS' designs and physical characteristics were evaluated with the Natural Environment Scoring Tool (NEST) and user in-formation for 10 SUGS (1-5 ha) in Shanghai in 2021 was collected via a questionnaire. We developed a multilevel model for exploring the factors affecting mental health from two aspects: the individual level and the park level. This study found that SUGS and mental health were positively associated. In addition to individu-al-level variables like income, marital status, social cohesion, and use frequency, park-level variables such as usability, aesthetics-natural features, and civilized environment are also conducive to improving mental health, while entertainment facilities in SUGS have a negative association with mental health. There was no evidence that visit frequency, stay time, social cohesion, or physical exercise act as a mediator between park features and mental health. This study provides empirical evidence for the positive correlation between SUGS and mental health and presents a means of promoting public mental health with efficient SUGS planning and management.",2022,,URBAN FORESTRY & URBAN GREENING,78,,,WOS:000885936300001,10.1016/j.ufug.2022.127784,,#38,Wang 2022,
Do Sociodemographic Factors and Urban Green Space Affect Mental Health Outcomes Among the Urban Elderly Population?,"Lee, HJ; Lee, DK","The mounting mental health issues faced by elderly urban residents increase the social and economic costs to society associated with dementia and depression. Therefore, it is necessary to identify the characteristics of elderly urban residents suffering from mental health issues, to address these issues more effectively. We used 2015 Community Health Survey data from the Korea Centers for Disease Control and Prevention to identify the demographic and social characteristics of 11,408 elderly urban residents in relation to stress levels and symptoms of depression in seven metropolitan areas in Korea, and to calculate the odds ratio for urban green space. We found that the prevalence of these mental health issues generally decreased in relation to the ratio of green space of an area. These findings suggest identifying elderly people who are vulnerable to certain mental health issues based on demographic and social characteristics and demonstrate that the ratio of urban green space within a community is an important component in improving mental health outcomes for elderly urban residents. These findings have policy implications for assisting elderly people vulnerable to certain mental health issues and for establishing a green welfare policy targeting this population.",2019,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,16,5,,WOS:000462664200114,10.3390/ijerph16050789,,#47,Lee 2019,
Access to urban green spaces and behavioural problems in children: Results from the GINIplus and LISAplus studies,"Markevych, I; Tiesler, CMT; Fuertes, E; Romanos, M; Dadvand, P; Nieuwenhuijsen, MJ; Berdel, D; Koletzko, S; Heinrich, J","Aim: We investigated whether objectively measured access to urban green spaces is associated with behavioural problems in 10-year old children living in Munich and its surrounding areas.Methods: Behavioural problems were assessed in the GINIplus and LISAplus 10-year follow-up between 2006 and 2009 using the Strengths and Difficulties Questionnaire. Access to green spaces was defined using the distance from a child's residence to the nearest urban green space. Associations between access to urban green spaces and behavioural problems were assessed using proportional odds and logistic regression models in 1932 children with complete exposure, outcome and covariate data.Results: The distance between a child's residence and the nearest urban green space was positively associated with the odds of hyperactivity/inattention, especially among children with abnormal values compared to children with borderline or normal values (odds ratio (OR) = 1.20 (95% confidence interval (CI) = 1.01-1.42) per 500 m increase in distance). When stratified by sex, this association was only statistically significant among males. Children living further than 500 m away from urban green spaces had more overall behavioural problems than those living within 500 m of urban green spaces (proportional OR = 1.41 (95% CI = 1.06-1.87)). Behavioural problems were not associated with the distance to forests or with residential surrounding greenness.Conclusion: Poor access to urban green spaces was associated with behavioural problems in 10-year old children. Results were most consistent with hyperactivity/inattention problems. (C) 2014 Elsevier Ltd. All rights reserved.",2014,,ENVIRONMENT INTERNATIONAL,71,,29-35,WOS:000341745100004,10.1016/j.envint.2014.06.002,,#50,Markevych 2014,
Associations between growing up in natural environments and subsequent psychiatric disorders in Denmark,"Engemann, K; Svenning, JC; Arge, L; Brandt, J; Erikstrup, C; Geels, C; Hertel, O; Mortensen, PB; Plana-Ripoll, O; Tsirogiannis, C; Sabel, CE; Sigsgaard, T; Pedersen, CB","Natural environments have been associated with mental health benefits worldwide. However, how different elements and types of natural environments associate with mental health is still largely unknown. In this study, we perform a detailed analysis on a large, nation-wide data set of mental health records (908 553 individuals) for Denmark combined with remotely-sensed land cover and vegetation density data. We explore associations between growing up surrounded by different environments and rates of a spectrum of 18 psychiatric disorders. Childhood land cover exposure for urban, agricultural, near-natural green space, and blue space was determined around the residence of each individual. Vegetation density and air pollution were evaluated as potential pathways. Cox proportional hazards models were used to estimate rates as hazard ratios and then adjusted for potential confounding from other known risk factors. For 12 of 18 disorders, rates were lower for children growing up in environments with more natural elements (near-natural green space, blue space, and agriculture) compared to children growing up in urban environments. High vegetation density was associated with lower rates for most disorders within all the examined environments, whereas mitigation of air pollution by natural environments seemed a less important potential pathway. Rates were not notably changed by adjustment for urbanization, parental and municipal socioeconomic status, family history of mental illness, and parents' age. In conclusion, we found that growing up surrounded by a range of natural environments such as near-natural green space, blue space, and agriculture may lower rates of psychiatric disorders. Our results show the importance of ensuring access to natural environments from as nature-based solutions for improved public health and sustainable, livable cities.",2020,,ENVIRONMENTAL RESEARCH,188,,,WOS:000564651700003,10.1016/j.envres.2020.109788,,#55,Engemann 2020,
Research note: Natural environments and prescribing in England,"Gidlow, CJ; Smith, G; Martinez, D; Wilson, R; Trinder, P; Grazuleviciene, R; Nieuwenhuijsen, MJ","Studies using routinely gathered data increasingly show associations between area-level green space and health. However, the environment exposure measures often include only urban green space and there has been limited use of prescribing data as a proxy health indicator. This brief report presents a small-area ecological study of associations between natural environment (including private gardens and water) and the volume and cost of prescribing for cardiovascular conditions and depression in England, with confirmatory analysis using all-cause mortality (in adults aged 15-65 years). Using Besag, York and Mollie (BYM) models to adjust for known confounders and unaccounted-for spatial autocorrelation, we found a statistically significant association of lower mortality in areas with higher area density of natural environment, which was strongest in more deprived areas. There was some evidence of a positive association between cardiovascular prescribing and area density of natural environment, with a nonsignificant trend towards lower anti-depressant prescribing in areas with higher natural environment density. Apparently beneficial relationships between all cause mortality and natural environment were not observed for prescribing data, but we advocate further exploration focusing on prescribing for mental health and other conditions with plausible links. (C) 2016 Elsevier B.V. All rights reserved.",2016,,LANDSCAPE AND URBAN PLANNING,151,,103-108,WOS:000376811300010,10.1016/j.landurbplan.2016.02.002,,#56,Gidlow 2016,
"Association between urban green space and self-reported lifestyle-related disorders in Oslo, Norway","Ihlebaek, C; Aamodt, G; Aradi, R; Claussen, B; Thoren, KH","Aims: The need for studies from more countries on the relationship between urban green space and health has been emphasized. The aim of this study was to investigate the association between two types of measurement of urban green space and self-reported lifestyle-related disorders in Oslo, Norway. Methods: Self-reported measures on mental disorders, asthma, type 2 diabetes and musculoskeletal pain of 8638 participants in the Oslo Health Study (HUBRO) were linked to two types of green space variables: the vegetation cover greenness derived from satellite data, which shows the city's vegetation cover regardless of property boundaries, and the land use greenness derived from municipal plans showing information about publicly accessible vegetation-covered areas. Associations between greenness and health measures were analysed by logistic regression models controlling for possible individual and contextual confounders. Results: Increasing vegetation cover greenness was associated with fewer self-reported mental disorders for both men and women after controlling for possible confounders. The proportion of women who reported high levels of musculoskeletal pain increased with increasing degrees of both of the greenness measurements, but no significant association was observed for men. No association was found for asthma and diabetes type 2 for either men or women. Conclusions: Although there was a positive association between vegetation cover greenness and self-reported mental disorders, the main findings showed mixed results. The lack of clear associations between urban green space and lifestyle-related health disorders in Oslo might have been influenced by a large proportion of the inhabitants having easy access to green areas.",2018,,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,46,6,589-596,WOS:000441724500001,10.1177/1403494817730998,,#57,Ihlebaek 2018,
Evaluating the association between urban green spaces and subjective well-being in Mexico city during the COVID-19 pandemic,"Huerta, CM; Utomo, A","This paper examines the association between the frequency of use of urban green spaces (UGS) and the subjective well-being (SWB) of Mexico City's residents during the COVID-19 pandemic. We conducted an online survey (N = 1954) regarding individuals' perceptions and use of UGS and their SWB, evaluated through the short version of the Warwick-Edinburgh mental well-being scale. Multilevel mixed-effects regression analyses were performed to investigate the association between the frequency of UGS use and SWB, including individual and municipal level characteristics as covariates. Our results suggest that respondents who used UGS once or more per week during the pandemic reported higher SWB scores (8.7%) than those with zero visits. These findings have public policy implications that could enhance the role of UGS in urban environments during times of crisis.",2021,,HEALTH & PLACE,70,,,WOS:000680017600006,10.1016/j.healthplace.2021.102606,,#59,Huerta 2021,
The effect of green space behaviour and per capita area in small urban green spaces on psychophysiological responses,"Lin, W; Chen, QB; Jiang, MY; Zhang, XX; Liu, ZF; Tao, JY; Wu, LJ; Xu, S; Kang, YS; Zeng, QY","Research has shown that there is a close relationship between small urban green spaces and people's physical and mental health. However, most previous studies focus on the macro-level, and there is a lack of empirical studies using real green spaces as the stimulus. The purpose of this study is to explore the effects of two key factors, namely, green space behaviour (GSB) (walking and sitting) and per capita area (PCA) (high, middle and low), in small urban green spaces on the psychophysiological responses of visitors to these spaces. We recruited 240 participants and randomly assigned them to six bamboo-vegetated green spaces with the following different combinations of PCA and GSB: high-sitting, middle-sitting, low-sitting, high-walking, middle-walking and low-walking. The subjects in all six groups performed the same stress tasks indoors (pre-test), then performed green space restoration tasks outdoors (post-test). We measured the participants' beta/alpha index in multiple brain regions, blood pressure, peripheral capillary oxygen saturation (SpO2) and pulse. In addition, we performed a Stroop assessment of their attention level, used the Profile of Mood States (POMS) and collected data on green space preference. The results showed that people have better psychophysiological responses when GSB is matched with the appropriate PCA in a small urban green space. This study concludes that walking in a high PCA and sitting in a low PCA had the most beneficial effects with regard to reducing stress, improving mood and matching the participants' preferences for urban green spaces. These research results can provide guidance for urban green space planning and design.",2019,,LANDSCAPE AND URBAN PLANNING,192,,,WOS:000491627700003,10.1016/j.landurbplan.2019.103637,,#60,Lin 2019,
Visits to urban green-space and the countryside associate with different components of mental well-being and are better predictors than perceived or actual local urbanisation intensity,"Coldwell, DF; Evans, KL","Maintaining mental well-being in highly urbanised locations, especially large cities, is challenging but exposure to green-space can promote well-being. We address three poorly resolved questions concerning the relationships between mental health, urbanisation and green-space: i) the relative importance of city size, local intensity of urbanisation and visiting green-space, ii) if visits to urban green-space and the countryside have equivalent associations with well-being, and iii) if biodiversity knowledge moderates relationships between well-being and visiting green-space (such moderation may occur if exposure to biodiversity contributes to relationships between visiting green-space and well-being). We use data from just over 200 respondents recruited in randomised door-to-door surveys across six English cities. We find that visiting green-space increases mental well-being but that city size and the intensity of urbanisation around respondents' homes have negligible influence. The limited effect of local urbanisation holds when considering the perceived amount of greenery or built-up land rather than objectively quantified indices. More frequent visits to the countryside and urban green-space are positively associated with higher well-being scores, but visits to urban green-space are more strongly associated with lower anxiety, whilst countryside visits associate with higher life satisfaction. Biodiversity knowledge did not consistently moderate relationships between well-being and green-space visit rates. Whilst we use a cross-sectional approach our data suggest that mental well-being can be achieved by residents in highly urbanised locations if they frequently access green-space, but achieving high well-being across all its components requires access to the countryside and not just urban green-space.",2018,,LANDSCAPE AND URBAN PLANNING,175,,114-122,WOS:000431748200011,10.1016/j.landurbplan.2018.02.007,,#62,Coldwell 2018,
What accounts for 'England's green and pleasant land'? A panel data analysis of mental health and land cover types in rural England,"Alcock, I; White, MP; Lovell, R; Higgins, SL; Osborne, NJ; Husk, K; Wheeler, BW","Exposure to green space is associated with a variety of positive health states. Research to date has focused primarily on 'generic' green space in urban areas, where green space is relatively scarce and where it is dominated by playing fields and parks. The current research adds to our understanding with an examination of relationships between different types of green space and mental health in rural areas in England (approximate rural population = 4 million). The aggregate land cover classes of Land Cover Map 2007 were linked to rural residential areas (Lower-level Super Output Areas) and then linked to rural participants (n = 2020) in the 18-year longitudinal British Household Panel Survey. Random effects regression of mental health (as measured by GHQ12 scores) against land cover enabled effects to be simultaneously estimated from both mean between-individual differences and from within-individual differences over time. The nine natural land cover classes (Broadleaved woodland; Coniferous woodland; Arable; Improved grassland; Semi-natural grassland; Mountain, heath and bog; Saltwater; Freshwater; Coastal) were not significantly associated with differences in mental health between individuals. However, significant relationships were observed between some types of land cover and within-individual change in mental health amongst individuals who relocated during the 18 annual waves of the panel. These findings indicate the presence of important health related ecosystem services from different land cover types that have not previously been investigated and which help more effective spatial planning and land use management. (C) 2015 Elsevier B.V. All rights reserved.",2015,,LANDSCAPE AND URBAN PLANNING,142,,38-46,WOS:000363350100005,10.1016/j.landurbplan.2015.05.008,,#68,Alcock 2015,
Longitudinal Effects on Mental Health of Moving to Greener and Less Green Urban Areas,"Alcock, I; White, MP; Wheeler, BW; Fleming, LE; Depledge, MH","Despite growing evidence of public health benefits from urban green space there has been little longitudinal analysis. This study used panel data to explore three different hypotheses about how moving to greener or less green areas may affect mental health over time. The samples were participants in the British Household Panel Survey with mental health data (General Health Questionnaire scores). for five consecutive years, and who relocated to a different residential area between the second and third years (n = 1064; observations = 5320). Fixed-effects analyses controlled for time-invariant individual level heterogeneity and other area and individual level effects. Compared to premove mental health scores, individuals who moved to greener areas (n = 594) had significantly better mental health in all three postmove years (P = .015; P = .016; P = .008), supporting a ""shifting baseline"" hypothesis. Individuals who moved to less green areas (n = 470) showed significantly worse mental health in the year preceding the move (P = .031) but returned to baseline in the postmove years. Moving to greener urban areas was associated with sustained mental health improvements, suggesting that environmental policies to increase urban green space may have sustainable public health benefits.",2014,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,48,2,1247-1255,WOS:000330205000050,10.1021/es403688w,,#69,Alcock 2014,
